,videoId,text,likeCount,published
90,9mbc6ESMMvo,이제 너무 쎄져서 전사 4초 무기끼고 3-1 뺑이쳐도 보스에서 시간이 남아버림 2분01초 이제 2분 00초나오네,0,2026-08-06 15:43:27+00:00
162,j__MUJTquJw,3-5에서 궁수가 드래곤 버스트를 너무 뒤에서 써서 몹이 한 마리가 남게 되는데 어쩌죠? 자꾸 조디악 레이를 1웨이브에 써버리네요,1,2026-08-06 13:29:32+00:00
144,j__MUJTquJw,17:43 3-5도 그렇고 한 마리 땜에 자꾸 조디악 선발동 되면 걍 전사 디바이드를 데몬베인으로 끼고 갔다가 첫 턴에 전사 궁수 극딜로 밀고 2턴에 조디악 정상발동 되게 턴 안 꼬임 (디바이드 다시 바꿔주기 추가),1,2026-08-06 13:01:39+00:00
67,9mbc6ESMMvo,3-1 이후 스테이지에서 전사 두번째극딜이랑 보스랑 타이밍이 맞으면 뒷스테이지 가도 되나요?,0,2026-08-06 11:45:39+00:00
183,j__MUJTquJw,10:25 반복사냥세팅,0,2026-08-06 11:13:26+00:00
1093,GeniNYE0V5M,이제 33캐릭 더키울께요! 겨울에는 슈프림유니온 1 등급렙 되겠네요 저!,1,2026-08-06 10:48:55+00:00
297,f3DLA1EU8vw,카오스 2-3 방여구 다빼고 하는 재시작 오프라인일때도 해도 되나요 오프라인이면 템 다끼고 카오스 1-1 해놔야되나요 걍 카오스 2-3 방여구 다빼고 하는 재시작 오프라인도 그렇게 해도 되나요?,0,2026-08-06 10:48:38+00:00
1096,GeniNYE0V5M,저 마스터유니온lll(등급렙) 되가요 잼이된덕분에 일반캐릭 7개 해서 29개 캐릭이네요 이제저는..,1,2026-08-06 10:48:09+00:00
75,9mbc6ESMMvo,지금 레벨 49 49 49 인데 오프라인 기준 경험치는 카 1-1 두면 되나요?,0,2026-08-06 10:45:55+00:00
235,j__MUJTquJw,이지랄안해도 방치하면 어차피 다깨지않나요,0,2026-08-06 09:54:02+00:00
1098,GeniNYE0V5M,선생님 환산보면 헥환옆에 주의(방패모양 느낌표)에 정령의 축복 30렙 아니라고 나오는데 20렙이 끝 아닌가요? 어떻게 더 올리나요?,1,2026-08-06 05:55:55+00:00
5014,5C5DU2FiHZk,아 나는 왜 팔라딘을 했을까,0,2026-08-06 03:02:31+00:00
8436,f92dfu0biJI,레테 전용인가요?,0,2026-08-06 02:30:50+00:00
114,9mbc6ESMMvo,겨우 2000개 모았는데 차이 엄청나네,0,2026-08-06 02:30:06+00:00
77,9mbc6ESMMvo,귀찮아서 3-9 멈춰놨더니 어제 한번 보니까 이젠 3-9도 빌드없이 패고있던데 이제야 좀 방치형이 된거 같다고 느낌 ㅋㅋ,0,2026-08-06 01:07:47+00:00
1100,GeniNYE0V5M,0:34 와 저건 나도 몰랐는데,2,2026-08-05 23:13:36+00:00
1101,GeniNYE0V5M,잼이님 이번주 해방인 283렙 5천플마단 제논유저입니다! 보스를 돌다가 럭키 마깃안이 떴는데 팔고 템을 맞추는 게 좋을까요?? 현재 엠블은 에픽 똥블렘입니다!,1,2026-08-05 20:17:13+00:00
1107,GeniNYE0V5M,루타 칭호 연모로 잡아도 주나여?,1,2026-08-05 19:52:34+00:00
210,j__MUJTquJw,3-4까지 라고 적혀있는 빌드 3-3 절대안됌 3-3 처음 출발할 때 뒤에 무조건 한마리가 드래곤 버스트 안맞게 되어있음 한마리 야발..;;,0,2026-08-05 19:44:23+00:00
120,9mbc6ESMMvo,근데 카오스 살거 크게 없던데,0,2026-08-05 19:05:37+00:00
1109,GeniNYE0V5M,챌섭으로 복귀한 유저인데 아무리 찾아봐도 일격필살이라는 이름이 없는데 어떤거죠 ㅠ,2,2026-08-05 17:51:17+00:00
1113,GeniNYE0V5M,혹시나 하고 들어왔지만..,1,2026-08-05 17:30:21+00:00
