title,author,datetime,content,url
지금 쌍레5줄 가격이 어떤 편인가요?,,2026-06-30 13:59,"시세탭 검색해보면 최근것밖에 안나와서 잘 모르겠는데
지금 템가격 무난무난한 편인가요?
아니면 챌섭거품 덜 빠졌을까요?",https://www.inven.co.kr/board/maple/2300/358509
카엔슬 가능할까요,레알밤판사,2026-06-30 13:35,노말 풀도핑 기준 입장 오리진극딜 리레 끝나기전에 잡혀요 배율은 126퍼? 정도 나오네요,https://www.inven.co.kr/board/maple/2300/358508
제네 해방 조각 이거 오바될까요?,,2026-06-30 13:28,조각이 2399개 있는데 7월1일날 검마솔플하면 정확히 2999개 될텐데 여기서부터 하드스우 진행하면 하드스우 흔적은 못받는지 궁금합니다,https://www.inven.co.kr/board/maple/2300/358507
메린이 헥사 스텟 질문 떡작했는데 궁금해요,안얌체,2026-06-30 13:02,"메인 스탯이 높으면 좋은 걸로 알고 있었는데 검색해보니 어떤 스탯이든 나중에는 뭐가 결국엔 좋다느니 뭐가 하나라도 10이되면 좋은 거라고 하더라고요?
메인스텟5만찍어보자하고 했는데 결국 다 강화할 때까지 이렇게 나와서 메인 스텟이 아니더라도 10에 가까운 9라도 나왔으니 좋은 건지, 아니면 초기화하고 메인 스텟 높아질 때까지 다시 찍어야 할지 궁금합니다.",https://www.inven.co.kr/board/maple/2300/358506
6월에 검마 잡았는데 7월1일 검마흔적,,2026-06-30 12:45,"6월 25일에 검마 잡아서 제네패스 흔적 받았습니다
내일 7월1일 되자마자 검마 잡으면 흔적이랑 보상, 받을수 있나요??",https://www.inven.co.kr/board/maple/2300/358504
메청년 메쌤 형님들 템셋팅 방향 조언 부탁드립니다.,양덕동,2026-06-30 12:40,"안녕하세요
컨트롤이 안되어서 최대한 보스 딜찍누를 하고싶은 메린이입니다.
약 400억 정도 있습니다.
현재 템 상태는 이렇고... 보조, 엠블, 하트 순으로 바꿔야 된다고 보았습니다.
당장의 목표는 검밑솔 수월하게 도는거고
그 다음 목표는 환산 6-7만 정도인데 조언 부탁드립니다.",https://www.inven.co.kr/board/maple/2300/358503
닉네임옥션에 이런닉도 팔릴까요 ?,그냥초보자,2026-06-30 12:29,"여잗, 정잗, 보잗, 묘잗, 흉잗",https://www.inven.co.kr/board/maple/2300/358502
챌섭 이칼 80퍼 나오는데 2인가능한가여?,,2026-06-30 12:27,가능하나여?,https://www.inven.co.kr/board/maple/2300/358501
메뉴비 질문입니다,,2026-06-30 12:26,"1. 전투력? 5천+-가 이것저것 무난하게 할수 있는 전투력인가요?? (메벤자게 돌아다니다 보니 5천정도를 기준으로 잡으시는 것 같아서요)
2. 장비템이 기간제인데 아이템 버닝 최종템 수준은 무자본으로 맞추기에 어렵지 않은 수준인가요?? 이벤트로 뿌리는 것들이랑 메소 모아서 해보려고용.(제네패스랑 챌린저스패스 구매했습니다)",https://www.inven.co.kr/board/maple/2300/358500
템세팅 vs 다조구매,예수믿는부처,2026-06-30 11:26,"다음달에 대략200억 정도를 투자를 한다면 템세팅이 나을까요?
지금 템 비싼건 3배씩 비싸던데(장신구) 이게 맞나 싶기도;;
차라리 싼 다조를 구매하는게 좋을까요....
메짱이분들 답변 좀 ...
본캐로 키울 아이 입니다!",https://www.inven.co.kr/board/maple/2300/358499
메린이 템셋 질문,트아가,2026-06-30 11:13,"지금 챌섭에서 제논 육성 중인 메린이 입니다
보유 메소 83억 정도 있습니다
벨트 도미는 챌섭 보상으로 준거 쓰고 있고 미트라는 챌섭 보상 레잠 발라줄 예정입니다
지금 보장이 4셋이라 하나를 내려야 하는데 어떻게 템 세팅을 해야할까요...",https://www.inven.co.kr/board/maple/2300/358498
경매장 시세탭,잉카이럼,2026-06-30 11:09,원래 경매장 시세 추이가 당일이랑 전일꺼 밖에 안나오나요?? 챌섭전에 얼만지 보고싶은데;;,https://www.inven.co.kr/board/maple/2300/358497
익검 첫트인데 조언듣고싶슴다,한마충,2026-06-30 10:40,"님들이 익검 처음 갔을 때 느낀 익검의 어려운점이랑
하드검마랑 다른 팁같은게 있을까요
특히 4페 색깔이 주기적으로 바뀐다는데 그럴땐 내 캐릭 뚫어져라 보고 있다가 바뀌자마자 다시 채집키로 원상복구 시킬 수 있나요? 아니면 강제로 바뀐다음 잠시동안은 채집키 막힘?",https://www.inven.co.kr/board/maple/2300/358496
메쌤 형님들 템셋팅 조언 부탁드리옵니다,꼬마꼼,2026-06-30 10:14,메쌤님들 70억 정도 있는데 어떻게 업글 하는게 효율이 좋을까요??,https://www.inven.co.kr/board/maple/2300/358495
메이플 슈퍼뉴비 어떻게 강화하는지 궁금합니다.,,2026-06-30 10:11,"안녕하세요 선배님들
인생처음 메이플을 하는 뉴비입니다...
자석펫을 직접 뽑는바람에 150을 써서 MVP가 되버려서(?) 본격 푹먹중입니다.
게임이 생각보다 좀어려운데.. 스펙업을 하는 방법이 궁금합니다.
제가 일단 하면서 느낀바로는...
1. 스타포스 강화
2. 잠재력 강화
3. 에디셔널 강화
이렇게 3개가 큰줄기인것 같기는한데 ;; 이걸 어떤템에 해야하고 어떤템엔 하면 안되고 이런게 넘 어렵습니다 흑흑",https://www.inven.co.kr/board/maple/2300/358494
280에 검마 노세 이칼까지 솔플한 챌섭분들 질문,Keypo,2026-06-30 09:55,"69000점인데
1000점 다들 뭘로 채울 계획이신가요..?",https://www.inven.co.kr/board/maple/2300/358493
5석펫 루나스킬 2캐릭터 사용가능한가요??,,2026-06-30 09:47,"1캐릭에서 루나스킬로 5시간 날먹후
2캐릭에서 월드공유로 5시간 똑같이 날먹가능한가요
90회인가 제한있던데",https://www.inven.co.kr/board/maple/2300/358492
200비약 질문 드려요,Como90,2026-06-30 09:37,이번에 주는 200비약 스카로 가서 쓸 생각인데 이러면 스카에 캐릭 하루에 2개씩 만들어 놔야 하나요?? 비약을 챌섭에 받아버려서요 ㅠ,https://www.inven.co.kr/board/maple/2300/358491
