title,category,views,question_intent
챌섭뉴비 블큐 화에큐 어디다 써야할까요,아이템,2501,가격·시세
챌섭 유입 질문드립니다.,아이템,484,우선순위
초보 보스 공략하려면 환산주스탯 몇퍼정도부터 트라이하면 좋을까요?,몬스터,779,방법·공략
뉴비 보조무기 질문,아이템,591,가격·시세
챌뉴비 똥블렘 뽀록등업으로 인한 고민 도와주세요,아이템,935,가격·시세
챌섭 뉴비 스펙업 뭐해야 하나요?,아이템,1219,가능·적정성
검마 3페 질문,몬스터,1481,기타 질문
뉴비 이 캐릭터 버려야하는지 고민입니다..,기타,2982,가격·시세
컴알못 질문드려도 될까요... (부품 교체),기타,551,가능·적정성
챌뉴비 방어구 질문드려요!,아이템,455,선택·추천
